Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	600
Conversion Gain:	4096
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	60567
Lower Discriminator:	839
Calibration Coefficients:	59.5625	14.4375
Calibration Channels:	97	177
Calibration Energies:	1460.0	2615.0
Elapsed Real Time:	670234.4
Elapsed Live Time:	670186.76
Start Time:	February 20, 2020, 06:04:09
End Time:	February 20, 2020, 06:03:30
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	59.5625	0
1	74.0	0
2	88.4375	0
3	102.875	0
4	117.3125	0
5	131.75	0
6	146.1875	0
7	160.625	0
8	175.0625	0
9	189.5	0
10	203.9375	0
11	218.375	0
12	232.8125	0
13	247.25	0
14	261.6875	0
15	276.125	0
16	290.5625	0
17	305.0	0
18	319.4375	0
19	333.875	0
20	348.3125	0
21	362.75	0
22	377.1875	0
23	391.625	0
24	406.0625	0
25	420.5	0
26	434.9375	0
27	449.375	0
28	463.8125	0
29	478.25	0
30	492.6875	0
31	507.125	0
32	521.5625	0
33	536.0	0
34	550.4375	0
35	564.875	0
36	579.3125	0
37	593.75	0
38	608.1875	0
39	622.625	0
40	637.0625	0
41	651.5	0
42	665.9375	0
43	680.375	0
44	694.8125	1
45	709.25	0
46	723.6875	0
47	738.125	0
48	752.5625	1
49	767.0	0
50	781.4375	0
51	795.875	0
52	810.3125	0
53	824.75	0
54	839.1875	1
55	853.625	0
56	868.0625	0
57	882.5	0
58	896.9375	1
59	911.375	0
60	925.8125	0
61	940.25	1
62	954.6875	0
63	969.125	2
64	983.5625	1
65	998.0	5
66	1012.4375	37
67	1026.875	486
68	1041.3125	3803
69	1055.75	16448
70	1070.1875	31993
71	1084.625	36309
72	1099.0625	36721
73	1113.5	37107
74	1127.9375	37248
75	1142.375	36995
76	1156.8125	37399
77	1171.25	37524
78	1185.6875	37916
79	1200.125	37751
80	1214.5625	37551
81	1229.0	38177
82	1243.4375	38024
83	1257.875	38730
84	1272.3125	38617
85	1286.75	38834
86	1301.1875	38507
87	1315.625	39033
88	1330.0625	38456
89	1344.5	38388
90	1358.9375	38049
91	1373.375	37637
92	1387.8125	37525
93	1402.25	36728
94	1416.6875	36000
95	1431.125	35182
96	1445.5625	35063
97	1460.0	34152
98	1474.4375	33908
99	1488.875	33042
100	1503.3125	32986
101	1517.75	32288
102	1532.1875	31912
103	1546.625	31591
104	1561.0625	31041
105	1575.5	30249
106	1589.9375	30185
107	1604.375	29765
108	1618.8125	30242
109	1633.25	30146
110	1647.6875	30104
111	1662.125	30294
112	1676.5625	29745
113	1691.0	29645
114	1705.4375	29602
115	1719.875	28730
116	1734.3125	28391
117	1748.75	27045
118	1763.1875	25530
119	1777.625	24719
120	1792.0625	23388
121	1806.5	22552
122	1820.9375	21366
123	1835.375	20409
124	1849.8125	19551
125	1864.25	19356
126	1878.6875	18429
127	1893.125	17385
128	1907.5625	17428
129	1922.0	16943
130	1936.4375	16347
131	1950.875	15883
132	1965.3125	15195
133	1979.75	15026
134	1994.1875	14739
135	2008.625	14283
136	2023.0625	13707
137	2037.5	13164
138	2051.9375	12612
139	2066.375	12245
140	2080.8125	11720
141	2095.25	10995
142	2109.6875	10668
143	2124.125	10136
144	2138.5625	9700
145	2153.0	9270
146	2167.4375	8663
147	2181.875	8116
148	2196.3125	7786
149	2210.75	7455
150	2225.1875	7065
151	2239.625	6986
152	2254.0625	6749
153	2268.5	6367
154	2282.9375	6244
155	2297.375	5871
156	2311.8125	5716
157	2326.25	5620
158	2340.6875	5369
159	2355.125	5078
160	2369.5625	5051
161	2384.0	4974
162	2398.4375	4792
163	2412.875	4554
164	2427.3125	4520
165	2441.75	4305
166	2456.1875	4294
167	2470.625	4207
168	2485.0625	4139
169	2499.5	4092
170	2513.9375	4093
171	2528.375	3905
172	2542.8125	3855
173	2557.25	3716
174	2571.6875	3722
175	2586.125	3762
176	2600.5625	3696
177	2615.0	3685
178	2629.4375	3350
179	2643.875	3348
180	2658.3125	3278
181	2672.75	3403
182	2687.1875	3311
183	2701.625	3214
184	2716.0625	3122
185	2730.5	3172
186	2744.9375	2976
187	2759.375	2997
188	2773.8125	2981
189	2788.25	2896
190	2802.6875	2712
191	2817.125	2803
192	2831.5625	2699
193	2846.0	2680
194	2860.4375	2648
195	2874.875	2566
196	2889.3125	2557
197	2903.75	2542
198	2918.1875	2448
199	2932.625	2560
200	2947.0625	2532
201	2961.5	2439
202	2975.9375	2437
203	2990.375	2436
204	3004.8125	2356
205	3019.25	2421
206	3033.6875	2374
207	3048.125	2275
208	3062.5625	2288
209	3077.0	2204
210	3091.4375	2228
211	3105.875	2073
212	3120.3125	2057
213	3134.75	2027
214	3149.1875	2025
215	3163.625	1936
216	3178.0625	1798
217	3192.5	1809
218	3206.9375	1793
219	3221.375	1780
220	3235.8125	1634
221	3250.25	1658
222	3264.6875	1646
223	3279.125	1548
224	3293.5625	1572
225	3308.0	1510
226	3322.4375	1456
227	3336.875	1447
228	3351.3125	1452
229	3365.75	1402
230	3380.1875	1389
231	3394.625	1339
232	3409.0625	1319
233	3423.5	1310
234	3437.9375	1317
235	3452.375	1263
236	3466.8125	1316
237	3481.25	1171
238	3495.6875	1200
239	3510.125	1176
240	3524.5625	1134
241	3539.0	1099
242	3553.4375	1139
243	3567.875	1056
244	3582.3125	1048
245	3596.75	1052
246	3611.1875	993
247	3625.625	997
248	3640.0625	1031
249	3654.5	909
250	3668.9375	870
251	3683.375	877
252	3697.8125	869
253	3712.25	908
254	3726.6875	846
255	3741.125	768
256	3755.5625	874
257	3770.0	789
258	3784.4375	784
