,index,League,Season,Home_Team,Away_Team,Home_Goals,Away_Goals,Home_FH,Away_FH,Home_Win,Draw,Away_Win,Over_2_5,Under_2_5,Code_1,Code_2,Total_Goals,FH_Goals,Winner,HT_Winner
0,12891,Spa1,20,Bilbao,Barcelona,1,0,0,0,5340.0,3620.0,1780.0,1980,1930,3008,3018,1,0,H,D
1,12892,Spa1,20,Mallorca,Eibar,2,1,1,0,2820.0,3190.0,2770.0,2430,1600,3009,3039,3,1,H,H
2,12893,Spa1,20,Valencia,Real Sociedad,1,1,0,0,1690.0,3880.0,5470.0,2060,1850,3019,3015,2,0,D,D
3,12894,Spa1,20,Villarreal,Granada,4,4,1,1,1540.0,4190.0,6870.0,1950,1950,3020,3033,8,2,D,D
4,12895,Spa1,20,Celta Vigo,Real Madrid,1,3,0,1,5100.0,4460.0,1650.0,1490,2760,3022,3010,4,1,A,A
5,12896,Spa1,20,Leganes,Osasuna,0,1,0,0,1900.0,3180.0,5300.0,2840,1470,3067,3007,1,0,A,D
6,12897,Spa1,20,Betis,Valladolid,1,2,0,0,1820.0,3530.0,5070.0,2030,1870,3002,3028,3,0,A,D
7,12898,Spa1,20,Atletico,Getafe,1,0,1,0,1570.0,3780.0,7660.0,2430,1610,3003,3012,1,1,H,H
8,12899,Spa1,20,Espanyol,FC Sevilla,0,2,0,1,3130.0,3380.0,2410.0,2040,1850,3005,3013,2,1,A,A
9,12900,Spa1,20,Alaves,Levante,1,0,0,0,2430.0,3270.0,3200.0,2180,1750,3021,3016,1,0,H,D
10,12901,Spa1,20,Levante,Villarreal,2,1,0,1,2570.0,3610.0,2750.0,1640,2380,3016,3020,3,1,H,A
11,12902,Spa1,20,Granada,FC Sevilla,0,1,0,0,4030.0,3570.0,2000.0,2030,1870,3033,3013,1,0,A,D
12,12903,Spa1,20,Osasuna,Eibar,0,0,0,0,2890.0,3160.0,2720.0,2390,1630,3007,3039,0,0,D,D
13,12904,Spa1,20,Real Madrid,Valladolid,1,1,0,0,1230.0,7320.0,13120.0,1400,3100,3010,3028,2,0,D,D
14,12905,Spa1,20,Getafe,Bilbao,1,1,1,1,2540.0,2820.0,3550.0,3220,1380,3012,3008,2,2,D,D
15,12906,Spa1,20,Celta Vigo,Valencia,1,0,1,0,3150.0,3430.0,2380.0,1950,1950,3022,3019,1,1,H,H
16,12907,Spa1,20,Mallorca,Real Sociedad,0,1,0,0,3140.0,3260.0,2480.0,2230,1720,3009,3015,1,0,A,D
17,12908,Spa1,20,Barcelona,Betis,5,2,1,1,1370.0,5170.0,8990.0,1640,2370,3018,3002,7,2,H,D
18,12909,Spa1,20,Alaves,Espanyol,0,0,0,0,2690.0,3020.0,3060.0,2950,1440,3021,3005,0,0,D,D
19,12910,Spa1,20,Leganes,Atletico,0,1,0,0,5050.0,2990.0,2020.0,3300,1370,3067,3003,1,0,A,D
20,12911,Spa1,20,Bilbao,Real Sociedad,2,0,2,0,2470.0,2940.0,3520.0,2680,1520,3008,3015,2,2,H,H
21,12912,Spa1,20,FC Sevilla,Celta Vigo,1,1,0,0,1610.0,4000.0,6240.0,1800,2100,3013,3022,2,0,D,D
22,12913,Spa1,20,Betis,Leganes,2,1,0,0,2300.0,3110.0,3650.0,2370,1640,3002,3067,3,0,H,D
23,12914,Spa1,20,Osasuna,Barcelona,2,2,1,0,7780.0,4290.0,1490.0,1910,1990,3007,3018,4,1,D,H
24,12915,Spa1,20,Getafe,Alaves,1,1,1,1,1900.0,3080.0,5600.0,3190,1390,3012,3021,2,2,D,D
25,12916,Spa1,20,Levante,Valladolid,2,0,0,0,2010.0,3590.0,3940.0,1980,1930,3016,3028,2,0,H,D
26,12917,Spa1,20,Atletico,Eibar,3,2,1,2,1380.0,4530.0,10960.0,2090,1810,3003,3039,5,3,H,A
27,12918,Spa1,20,Espanyol,Granada,0,3,0,1,2020.0,3340.0,4280.0,2400,1630,3005,3033,3,1,A,A
28,12919,Spa1,20,Valencia,Mallorca,2,0,1,0,1380.0,4810.0,9590.0,1950,1950,3019,3009,2,1,H,H
